,¿ù,ÀÏ,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,sum,year
0,1,1,0,0,0,0,0,0.0,0.0,0.0,20.16,106.8,469.56,504.24,745.2,549.48,400.44,291.0,68.4,0.84,0.0,0.0,0.0,0.0,0.0,0.0,3158.12,2013
1,1,2,0,0,0,0,0,0.0,0.0,1.2,63.36,288.72,462.48,783.48,948.84,518.88,282.48,193.68,68.28,7.32,0.0,0.0,0.0,0.0,0.0,0.0,3621.7200000000003,2013
2,1,3,0,0,0,0,0,0.0,0.0,0.36,43.56,289.92,726.96,1149.84,1104.6,1088.52,511.92,231.0,85.44,9.24,0.0,0.0,0.0,0.0,0.0,0.0,5245.360000000001,2013
3,1,4,0,0,0,0,0,0.0,0.0,0.72,45.96,332.16,859.56,1191.24,1357.08,1251.96,602.04,513.12,66.6,9.72,0.0,0.0,0.0,0.0,0.0,0.0,6235.16,2013
4,1,5,0,0,0,0,0,0.0,0.0,0.36,41.64,341.04,740.52,1158.6,721.44,889.44,657.72,333.84,97.44,9.12,0.0,0.0,0.0,0.0,0.0,0.0,4997.16,2013
5,1,6,0,0,0,0,0,0.0,0.0,0.72,76.2,267.84,426.84,866.88,956.88,1030.44,721.44,429.96,105.36,11.64,0.0,0.0,0.0,0.0,0.0,0.0,4901.2,2013
6,1,7,0,0,0,0,0,0.0,0.0,2.04,59.76,352.08,355.68,931.68,1279.8,1051.32,811.92,430.44,85.32,10.68,0.0,0.0,0.0,0.0,0.0,0.0,5378.719999999999,2013
7,1,8,0,0,0,0,0,0.0,0.0,0.96,61.8,318.24,648.72,981.36,1082.88,1074.72,730.32,384.48,104.88,12.6,0.0,0.0,0.0,0.0,0.0,0.0,5409.96,2013
8,1,9,0,0,0,0,0,0.0,0.0,0.0,28.08,275.28,433.8,657.36,1175.4,903.24,572.76,243.6,94.32,8.76,0.0,0.0,0.0,0.0,0.0,0.0,4402.6,2013
9,1,10,0,0,0,0,0,0.0,0.0,1.08,63.36,406.2,794.04,1221.0,1325.28,1311.36,1017.36,591.36,113.16,8.88,0.0,0.0,0.0,0.0,0.0,0.0,6864.08,2013
10,1,11,0,0,0,0,0,0.0,0.0,0.36,38.64,395.52,812.16,1197.48,1258.68,1206.72,891.72,315.96,116.76,12.96,0.0,0.0,0.0,0.0,0.0,0.0,6258.96,2013
11,1,12,0,0,0,0,0,0.0,0.0,0.24,64.92,305.76,519.24,838.08,692.04,608.88,499.92,330.12,113.4,11.64,0.0,0.0,0.0,0.0,0.0,0.0,3997.2400000000002,2013
12,1,13,0,0,0,0,0,0.0,0.0,0.0,25.32,73.68,133.8,207.96,155.28,109.08,88.8,119.16,27.84,0.6,0.0,0.0,0.0,0.0,0.0,0.0,955.52,2013
13,1,14,0,0,0,0,0,0.0,0.0,0.6,66.72,347.64,685.92,932.16,1015.8,966.96,613.32,258.84,62.88,1.8,0.0,0.0,0.0,0.0,0.0,0.0,4967.64,2013
14,1,15,0,0,0,0,0,0.0,0.0,2.28,90.96,323.16,572.76,1040.16,1120.2,1018.2,706.68,346.8,169.92,21.6,0.0,0.0,0.0,0.0,0.0,0.0,5428.72,2013
15,1,16,0,0,0,0,0,0.0,0.0,0.0,7.44,104.64,151.8,191.04,201.12,107.04,218.16,57.84,69.24,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1128.32,2013
16,1,17,0,0,0,0,0,0.0,0.0,0.0,12.24,121.92,390.6,545.88,619.32,666.96,823.8,309.24,111.6,6.48,0.0,0.0,0.0,0.0,0.0,0.0,3626.04,2013
17,1,18,0,0,0,0,0,0.0,0.0,0.96,59.04,472.2,927.48,1207.2,1202.64,706.2,675.6,568.44,89.16,20.16,0.0,0.0,0.0,0.0,0.0,0.0,5948.08,2013
18,1,19,0,0,0,0,0,0.0,0.0,0.0,19.8,75.6,165.6,252.12,501.36,781.32,394.2,395.28,128.4,12.6,0.0,0.0,0.0,0.0,0.0,0.0,2746.28,2013
19,1,20,0,0,0,0,0,0.0,0.0,0.12,43.56,353.4,470.88,796.08,1065.12,985.2,378.24,163.8,43.08,1.2,0.0,0.0,0.0,0.0,0.0,0.0,4321.68,2013
20,1,21,0,0,0,0,0,0.0,0.0,0.0,2.88,11.64,55.08,36.96,61.44,51.72,36.24,10.8,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.6,2013
21,1,22,0,0,0,0,0,0.0,0.0,0.0,0.72,16.68,35.16,48.72,151.56,297.0,98.4,74.04,21.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.52,2013
22,1,23,0,0,0,0,0,0.0,0.0,0.0,9.48,25.56,51.96,50.16,86.52,65.28,79.56,121.56,55.2,5.4,0.0,0.0,0.0,0.0,0.0,0.0,574.6800000000001,2013
23,1,24,0,0,0,0,0,0.0,0.0,0.0,3.72,43.2,101.4,113.88,43.44,116.76,162.12,90.0,29.52,4.92,0.0,0.0,0.0,0.0,0.0,0.0,733.96,2013
24,1,25,0,0,0,0,0,0.0,0.0,1.68,86.28,348.6,716.88,601.2,856.8,803.52,967.56,772.2,239.52,19.68,0.0,0.0,0.0,0.0,0.0,0.0,5439.92,2013
25,1,26,0,0,0,0,0,0.0,0.0,0.0,26.76,313.08,798.6,833.04,886.92,761.64,712.8,431.76,349.32,23.04,0.0,0.0,0.0,0.0,0.0,0.0,5163.96,2013
26,1,27,0,0,0,0,0,0.0,0.0,0.0,89.4,431.76,789.36,803.76,506.4,640.44,714.0,535.08,124.2,20.28,0.0,0.0,0.0,0.0,0.0,0.0,4682.68,2013
27,1,28,0,0,0,0,0,0.0,0.0,3.24,99.48,583.56,1021.08,1193.88,1221.12,1247.64,1077.12,758.52,258.0,35.28,0.0,0.0,0.0,0.0,0.0,0.0,7527.92,2013
28,1,29,0,0,0,0,0,0.0,0.0,1.92,93.48,408.0,716.52,869.76,867.72,737.4,229.08,246.0,138.12,24.24,0.0,0.0,0.0,0.0,0.0,0.0,4362.24,2013
29,1,30,0,0,0,0,0,0.0,0.0,2.28,103.56,475.44,882.12,1092.6,1171.32,1152.84,975.12,681.84,215.16,36.84,0.0,0.0,0.0,0.0,0.0,0.0,6820.119999999999,2013
30,1,31,0,0,0,0,0,0.0,0.0,0.12,93.84,175.2,313.2,459.36,402.6,595.44,329.88,163.56,62.28,5.28,0.0,0.0,0.0,0.0,0.0,0.0,2632.7599999999998,2013
31,2,1,0,0,0,0,0,0.0,0.0,0.0,0.48,19.92,52.8,32.28,24.24,7.08,2.04,5.64,6.48,0.84,0.0,0.0,0.0,0.0,0.0,0.0,154.8,2013
32,2,2,0,0,0,0,0,0.0,0.0,2.64,138.24,543.36,794.88,1112.28,1231.32,1154.04,1148.52,947.64,344.64,45.12,0.0,0.0,0.0,0.0,0.0,0.0,7466.68,2013
33,2,3,0,0,0,0,0,0.0,0.0,0.72,37.2,67.08,98.88,195.36,201.6,157.32,177.84,122.52,32.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1096.28,2013
34,2,4,0,0,0,0,0,0.0,0.0,0.0,7.2,46.08,96.36,308.64,889.32,995.76,1073.16,823.44,398.16,53.64,0.0,0.0,0.0,0.0,0.0,0.0,4697.76,2013
